;xe/xf;;;;;
tda;2;3;5;7;10;15
1,00E-04;0.0709;0.1063;0.1765;0.2433;0.3356;0.4535
2,00E-04;0.0868;0.1302;0.2145;0.2928;0.3996;0.5590
3,00E-04;0.1003;0.1502;0.2456;0.3327;0.4509;0.6278
4,00E-04;0.1228;0.1832;0.2955;0.3962;0.5328;0.7379
5,00E-04;0.1417;0.2104;0.3356;0.4471;0.5987;0.8259
6,00E-04;0.1582;0.2338;0.3697;0.4904;0.6549;0.9000
7,00E-04;0.1730;0.2545;0.3996;0.5284;0.7042;0.9642
8,00E-04;0.1989;0.2901;0.4509;0.5939;0.7889;1.0718
1,00E-03;0.2212;0.3204;0.4945;0.6496;0.8603;1.1600
2,00E-03;0.2671;0.3821;0.5833;0.7631;1.0027;1.3296
3,00E-03;0.3041;0.4315;0.6549;0.8536;1.1129;1.4560
4,00E-03;0.3633;0.5104;0.7691;0.9953;1.2792;1.6405
5,00E-03;0.4107;0.5738;0.8603;1.1050;1.4037;1.7750
6,00E-03;0.4509;0.6278;0.9367;1.1947;1.5033;1.8808
7,00E-03;0.4863;0.6753;1.0028;1.2707;1.5862;1.9681
8,00E-03;0.5470;0.7569;1.1129;1.3948;1.7196;2.1071
1,00E-02;0.5987;0.8259;1.2030;1.4941;1.8248;2.2158
2,00E-02;0.7043;0.9642;1.3754;1.6800;2.0189;2.4146
3,00E-02;0.7891;1.0718;1.5033;1.8152;2.1583;2.5564
4,00E-02;0.9239;1.2352;1.6896;2.0092;2.3567;2.7572
5,00E-02;1.0316;1.3592;1.8256;2.1492;2.4989;2.9006
6,00E-02;1.1235;1.4607;1.9342;2.2600;2.6110;3.0133
7,00E-02;1.2054;1.5486;2.0264;2.3536;2.7053;3.1081
8,00E-02;1.3521;1.7015;2.1838;2.5124;2.8649;3.2682
1,00E-01;1.4872;1.8392;2.3234;2.6527;3.0055;3.4089
2,00E-01;1.8081;2.1619;2.6474;2.9771;3.3301;3.7337
3,00E-01;2.1231;2.4772;2.9629;3.2926;3.6457;4.0493
4,00E-01;2.7516;3.1057;3.5915;3.9212;4.2743;4.6778
5,00E-01;3.3799;3.7341;4.2198;4.5495;4.9026;5.3061
6,00E-01;4.0082;4.3624;4.8481;5.1778;5.5309;5.9345
7,00E-01;4.6366;4.9907;5.4764;5.8061;6.1592;6.5628
8,00E-01;5.8932;6.2473;6.7331;7.0628;7.4159;7.8194
1,00E+00;7.1498;7.5040;7.9897;8.3194;8.6725;9.0761
2,00E+00;10.2914;10.6456;11.1313;11.4610;11.8141;12.2177
3,00E+00;13.4330;13.7872;14.2729;14.6026;14.9557;15.3592
4,00E+00;19.7162;20.0703;20.5561;20.8858;21.2389;21.6424
5,00E+00;25.9994;26.3535;26.8393;27.1690;27.5220;27.9256
6,00E+00;32.2826;32.6367;33.1224;33.4521;33.8052;34.2088
7,00E+00;38.5658;38.9199;39.4056;39.7353;40.0884;40.4920
8,00E+00;51.1321;51.4863;51.9720;52.3017;52.6548;53.0584
